slot,root_id,super_class,class,sub_class,cell_type,hemibrain_type,consolidated_type,side,nerve,nt,sign
231,720575940624031946,central,,,CB1365,,CB1365,right,,GLUT,-1
232,720575940624046153,central,Kenyon_Cell,,,KCg-m,KCg-m,left,,ACH,1
233,720575940624103612,central,,,,PS176,PS176,right,,GLUT,-1
234,720575940624125477,central,,,CB1468,,CB1468,left,,ACH,1
235,720575940624157675,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
236,720575940624166680,central,,,CB2927,,CB2927,left,,ACH,1
237,720575940624200962,central,,,CB1896,,CB1896,left,,ACH,1
238,720575940624209741,central,,,SLP300a,SLP300,SLP300a,right,,GLUT,-1
239,720575940624266128,central,,,CB3032,,CB3032,right,,GABA,-1
240,720575940624355113,central,,,SLP300a,SLP300,SLP300a,right,,GLUT,-1
241,720575940624392220,central,Kenyon_Cell,,KCab,KCab-m,KCab,right,,ACH,1
242,720575940624428019,central,Kenyon_Cell,,,KCg-m,KCg-m,right,,ACH,1
243,720575940624449573,central,,,CB1423,,CB1423,left,,SER,1
244,720575940624494058,central,,,,VES019,VES019,left,,GABA,-1
245,720575940624514599,central,,,,LHAV2g3,LHAV2g2_a,left,,ACH,1
246,720575940624563187,central,,,CB2990,,CB2267_b,right,,ACH,1
